club,handle,status,post_date,post_timestamp,likes,comments,reposts,collaborators,collab_count,caption,severity,post_url,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2023-12-12,2023-12-12T20:51:10+00:00,111,2,0,columbia_hep,1,"a very, merry holiday potluck from hep! 🤍🤍 shoutout @rosieeroses for the lovely pics rosieeroses   121w 💛💛💛 1 like Reply gir1bug   121w Chomp! 1 like Reply 111 2 December 12, 2023 More posts from columbia_hep Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploading & Non-Users Meta Verified English Afrikaans العربية Čeština Dansk Deutsch Ελληνικά English English (UK) Español (España) E",0,https://www.instagram.com/p/C0xFxKduamn/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2025-12-01,2025-12-01T17:38:11+00:00,,,,columbia_hep,1,"Join us for a conversation TODAY with HEP alumni who are now working in housing justice across NYC! Hear about their paths, their work, and their experiences advocating for equitable housing. Whether you're interested in organizing, policy, or community work, this is a chance to learn from people who’ve been exactly where you are. No comments yet. Start the conversation. December 1, 2025 More posts from columbia_hep Meta About Blog Jobs Help API Privacy C",0,https://www.instagram.com/p/DRusBt3DlTx/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2025-10-20,2025-10-20T01:12:32+00:00,63,6,0,columbia_hep,1,"MEGAMIND SANDWICH MAKING RECAP 🌀🌀💙💙 Featuring our amazing coords James and AV 🥪✨  Missed this week’s sandwich making? No worries, we’ll be hosting them every Sunday at 12 PM in the BCRW (Milstein 6th floor) for the rest of the semester! 🌟 Keep an eye out for our next themed sandwich making. 👀  The sandwiches you help make are distributed to vulnerable community members along Broadway in the Upper West Side area💙 reesacalderon   24w god i love u guys 1 lik",0,https://www.instagram.com/p/DQAx1wDjtGx/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2025-02-20,2025-02-20T16:50:17+00:00,78,0,0,columbia_hep,1,"NEXT MONDAY 🚨🚨🚨 MARK YOUR CALENDARS FOR OUR RAVEEEEEEEE. We will be packing toiletries for our direct outreach teams and outer Columbia community members. Bring your best dressed attire (formal only) and be ready to dance. 🪩 THERE WILL BE PRIZES. (And food)   BYOD = bring your own deodorant  BYOBW = bring your own body wash No comments yet. Start the conversation. 78 February 20, 2025 More posts from columbia_hep Meta About Blog Jobs Help API Privacy Cons",0,https://www.instagram.com/p/DGTUyUXuNfy/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2025-12-10,2025-12-10T18:23:46+00:00,,,,"columbia_hep, Edited",2,"Have extra swipes left?? Donate to HEP!! Our Chef Mike’s Swipe drive is happening outside of Uris everyday this week! Can’t make it to the Uris swipe drive? We will also be accepting snack donations 24/7 through the Milstein HEP inventory donation box! No comments yet. Start the conversation. December 10, 2025 More posts from columbia_hep Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads",0,https://www.instagram.com/p/DSF8PVrjrBp/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2024-02-27,2024-02-27T17:14:09+00:00,92,0,0,columbia_hep,1,"last night HEP members had a first aid training courtesy of our CUEMS members Luka and Ali!!! thanks for teaching us❤️🎒❤️ No comments yet. Start the conversation. 92 February 27, 2024 More posts from columbia_hep Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploading & Non-Users Meta Verified English Afrikaans العربية Čeština Dansk Deutsch Ελληνικά English English (UK) Español (Españ",0,https://www.instagram.com/p/C32-I8ZOWJj/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2025-09-09,2025-09-09T02:15:11+00:00,118,2,0,columbia_hep,1,"Great turnout at our first G-Body meeting of the year!!! It was wonderful seeing both new and familiar faces. We hope you enjoyed learning about our initiatives and how to participate. Looking forward to next Monday's gen bod meeting at 8 pm in Math 203!!! ciatcu   30w @ciatcu Reply maeve.11   30w 🤗🎒 Reply 118 2 September 8, 2025 More posts from columbia_hep Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta",0,https://www.instagram.com/p/DOXUayFDqwq/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2025-10-17,2025-10-17T23:02:07+00:00,8,0,0,columbia_hep,1,"WHAT’S ON YOUR MIND? MEGAMIND!!!   You guessed it! Our next sandwich making theme will be MegaMind 🧠🦹‍♂️🦸🤖🔵 COME DRESSED AS YOUR FAVORITE CHARACTER AND MAKE SANDWICHES WITH US WHILE WE WATCH MEGAMIND!!! Parents are welcome to join us this family weekend :)   Join us this Sunday, October 19 at 12 in the BCRW (Milstein 6th floor). See 🫵 there 🌟🌟 No comments yet. Start the conversation. 8 October 17, 2025 More posts from columbia_hep Meta About Blog Jobs Hel",0,https://www.instagram.com/p/DP7ZU5RjnFF/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2023-10-23,2023-10-23T22:51:52+00:00,12,0,0,columbia_hep,1,"Schermerhorn 614 PULL UP‼️ No comments yet. Start the conversation. 12 October 23, 2023 More posts from columbia_hep Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploading & Non-Users Meta Verified English Afrikaans العربية Čeština Dansk Deutsch Ελληνικά English English (UK) Español (España) Español فارسی Suomi Français עברית Bahasa Indonesia Italiano 日本語 한국어 Bahasa Melayu Norsk Nede",0,https://www.instagram.com/p/Cywj1VvOrmi/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2025-09-04,2025-09-04T23:29:19+00:00,50,0,0,"columbia_hep, Edited",2,"Stop by the HEP table tomorrow at the Club Fair to meet us and learn what we’re all about! Stay tuned for more updates. See you there 🌟 No comments yet. Start the conversation. 50 September 4, 2025 More posts from columbia_hep Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploading & Non-Users Meta Verified English Afrikaans العربية Čeština Dansk Deutsch Ελληνικά English Engli",0,https://www.instagram.com/p/DOMuN_GjpAe/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2025-03-31,2025-03-31T14:32:22+00:00,2,0,0,columbia_hep,1,"Hi Hep-pers! Join us this evening for a foreign aid teach-in, which grows especially pertinent on new administrative changes. Bring friends and concerned colleagues. 🤍 victoriamdillon   53w 👏 Reply gourdmom   53w Fantastic Reply 2 March 31, 2025 More posts from columbia_hep Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploading & Non-Users Meta Verified English Afrikaans العربية Češti",0,https://www.instagram.com/p/DH3gAc9Oo4F/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2024-02-19,2024-02-19T02:33:19+00:00,36,0,0,"columbia_hep, bluebirdconcerts",2,"PUT IT IN YOUR CALENDARS!!! Artists and location announced soon… No comments yet. Start the conversation. 36 February 18, 2024 More posts from bluebirdconcerts Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploading & Non-Users Meta Verified English Afrikaans العربية Čeština Dansk Deutsch Ελληνικά English English (UK) Español (España) Español فارسی Suo",0,https://www.instagram.com/p/C3gy-nwMdMU/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2024-09-29,2024-09-29T22:18:28+00:00,1500,3,0,"columbia_hep, defend.harlem",2,"🚨PROTEST TOMORROW - MONDAY, 9/30, 6PM AT 116TH & BROADWAY GATES, COLUMBIA UNIVERSITY. 🚨  For decades, Columbia University has displaced Harlem residents out of their homes and ignored their demands to stop its gentrification. While Columbia profits off the images and words of Black Harlem artists such as Zora Neale Hurston, Columbia’s construction of the “Manhattanville” campus since 2008 has forced thousands of Black and Latine",3,https://www.instagram.com/p/DAhH4G5OyHx/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2024-02-19,2024-02-19T17:20:24+00:00,38,0,0,columbia_hep,1,"nalaxone training TODAY at gen bod meeting! No comments yet. Start the conversation. 38 February 19, 2024 More posts from columbia_hep Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploading & Non-Users Meta Verified English Afrikaans العربية Čeština Dansk Deutsch Ελληνικά English English (UK) Español (España) Español فارسی Suomi Français עברית Bahasa Indonesia Italiano 日本語 한국어 Bahasa",0,https://www.instagram.com/p/C3iYf2cO3aN/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2023-10-17,2023-10-17T17:35:13+00:00,103,0,0,"luka_pusic, allisonkleinstein, columbia_hep",3,"at last night’s Gen Bod, 2 of our members, Luka and Allison, led an amazing First Aid Training for our members! we learned how to give CPR, tie a tourniquet, and apply gauze to a wound, as well as how to identify seizures and strokes. thanks so much guys! ❤️ No comments yet. Start the conversation. 103 October 17, 2023 More posts from columbia_hep Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations I",0,https://www.instagram.com/p/Cygi08Humex/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2024-05-06,2024-05-06T17:50:52+00:00,69,0,0,columbia_hep,1,"In the city for internships, classes, etc? Apply for summer direct outreach! Open to all❤️🎒 No comments yet. Start the conversation. 69 May 6, 2024 More posts from columbia_hep Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploading & Non-Users Meta Verified English Afrikaans العربية Čeština Dansk Deutsch Ελληνικά English English (UK) Español (España) Español فارسی Suomi Français עברי",0,https://www.instagram.com/p/C6otMUjO-vC/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2023-12-10,2023-12-10T21:55:05+00:00,48,0,0,"bcabolitioncollective, columbia_hep",2,"We wholeheartedly endorse the Tuition Strike- visit the link in our bio to learn more about the strike and to also pledge yourself! Repost and spread the word‼️‼️ No comments yet. Start the conversation. 48 December 10, 2023 More posts from columbia_hep Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploading & Non-Users Meta Verified English Afrikaans العربية Češ",0,https://www.instagram.com/p/C0sDfggrv-i/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2024-11-24,2024-11-24T22:20:38+00:00,798,9,0,"columbia_msa, sunrisecolumbia, columbiaydsa, columbia_hep, defend.harlem, Morningside, Heights, Manhattan",8,"🚨RALLY - TUESDAY, 11/26, 5:30 PM AT 60 MORNINGSIDE DRIVE - OUTSIDE COLUMBIA PRESIDENT ARMSTRONG’S HOUSE.🚨  Columbia, we recognize your past history of exclusion and displacement in Harlem, but we as uptown community members and students know the future can be different. As the university starts negotiations with the NY Interfaith Commission for Housing Equality,",3,https://www.instagram.com/p/DCxUo6MS9vg/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2025-05-29,2025-05-29T00:09:11+00:00,28,0,0,columbia_hep,1,"In the city this summer and looking to volunteer? Consider filling out our application for Direct Outreach which will take place on Mondays, Tuesdays, and Saturdays from 12-2pm out of the BCRW.   The outreach we do over the summer is so limited, so we want to show up for people when they are expecting us.  The application will be due at 11:59PM on June 4th, and, if you are placed on a team, you MUST attend the DO training on Saturday 6/07 or Sunday 6/8 at",0,https://www.instagram.com/p/DKN4HuEI-Ao/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2025-02-17,2025-02-17T15:58:51+00:00,43,0,0,columbia_hep,1,"hi hep-pers 💖💖 join us TONIGHT for our teach-in on where each of the NYC mayoral candidates stand on housing policy, and their policy implications. see you then! No comments yet. Start the conversation. 43 February 17, 2025 More posts from columbia_hep Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploading & Non-Users Meta Verified English Afrikaans العربية Čeština Dansk Deutsch Ελλην",0,https://www.instagram.com/p/DGLgg_pOLUT/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2023-10-10,2023-10-10T00:15:06+00:00,95,0,0,columbia_hep,1,"REQUEST FOR DIRECT OUTREACH SUPPLIES: follow this guide to learn more about how to help HEP keep doing what we’re doing❤️ No comments yet. Start the conversation. 95 October 9, 2023 More posts from columbia_hep Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploading & Non-Users Meta Verified English Afrikaans العربية Čeština Dansk Deutsch Ελληνικά English English (UK) Español (España)",0,https://www.instagram.com/p/CyMqOv5uVZT/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2025-05-13,2025-05-13T22:55:25+00:00,22,0,0,columbia_hep,1,"Are you going to be in New York over the summer? Are you interested in joining HEP Direct Outreach? We’ll be sending out a few weekly outreach teams over the summer, so fill out the interest form in our bio with your availability if you’d like to participate! We will be using the results of the form to figure out our summer schedule, and sending out a formal application next week. 🎒🥪 No comments yet. Start the conversation. 22 May 13, 2025 More posts from",0,https://www.instagram.com/p/DJnHwUpucw1/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2026-02-02,2026-02-02T13:27:16+00:00,20,0,0,columbia_hep,1,"Join the Housing Equity Project (HEP) for our first general-body meeting today, 2/2, at 8 PM in Math 312! Come meet new members and learn about and sign up for HEP’s multiple different initiatives. Both new and returning members are warmly welcome! No comments yet. Start the conversation. 20 February 2 More posts from columbia_hep Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploading",0,https://www.instagram.com/p/DUQdTcqDpjN/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2025-01-28,2025-01-28T14:30:13+00:00,36,0,0,"columbia_hep, bluebirdconcerts",2,"BLUEBIRD CONCERT 2/8/25🪺💙 Make sure to submit the short form by 2 days prior to the concert if you need campus access!!!!  Bands coming soon 🎺🎺🎺🎺🎺 No comments yet. Start the conversation. 36 January 28, 2025 More posts from bluebirdconcerts Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploading & Non-Users Meta Verified English Afrikaans العربية Češtin",0,https://www.instagram.com/p/DFX2eYaudl4/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2025-05-05,2025-05-05T23:05:46+00:00,,,,columbia_hep,1,"Hi friends!! Starting tomorrow we are hosting another sub drive for our fellow community members. Please drop them off to the present HEP member at Chef Mike’s 🤍🤍🤍 No comments yet. Start the conversation. May 5, 2025 More posts from columbia_hep Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploading & Non-Users Meta Verified English Afrikaans العربية Čeština Dansk Deutsch Ελληνικά Eng",0,https://www.instagram.com/p/DJSilSEOwri/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2026-03-30,2026-03-30T17:53:37+00:00,10,0,0,columbia_hep,1,"Toiletry Packing TODAY, 3/30 @ 8:00pm! Come join - we need all hands on boards 🚽🧻🧴 No comments yet. Start the conversation. 10 March 30 More posts from columbia_hep Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploading & Non-Users Meta Verified English Afrikaans العربية Čeština Dansk Deutsch Ελληνικά English English (UK) Español (España) Español فارسی Suomi Français עברית Bahasa Indon",0,https://www.instagram.com/p/DWhIUpYDpda/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2023-12-06,2023-12-06T22:58:05+00:00,35,0,0,columbia_hep,1,"Repost and share with anyone who may be interested! No comments yet. Start the conversation. 35 December 6, 2023 More posts from columbia_hep Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploading & Non-Users Meta Verified English Afrikaans العربية Čeština Dansk Deutsch Ελληνικά English English (UK) Español (España) Español فارسی Suomi Français עברית Bahasa Indonesia Italiano 日本語 한국어",0,https://www.instagram.com/p/C0h3hdLOZ6J/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,,,,,,,0,"2 postmovesshow 2 people Follow AB making sure Candace isn’t missing anything about the Lady Vols 😅 … more 3,728 228 65 alli_bellairs Follow birthday girl 1,369 54 6 lildiabestie Follow A hands full PSA 😂 Grateful for everyone who teaches me something new everyday … more 341 25 notsarahfitz 3 people Follow is the dating scene as bad as you think it is? Yes! @fentifriedchicken @caroline.berteletti … more 1,007 28 15 Shop now aquaphor Follow Quick passes. Protected skin. UConn Women's Basketball t",0,https://www.instagram.com/reel/Cb56emPj_J-/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2025-11-18,2025-11-18T17:54:16+00:00,1,0,0,columbia_hep,1,"Happy FRNsgiving from HEP to you 🤍❤️‍🔥💝  Thank you to all who came and cooked and more 💕 We will see you next week for a special presentation from the Columbia Tenant’s Union!   Shoutout to zipper at the end 🐈‍⬛🐱 eth.koay   19w wow such cute photos of my friends Reply 1 November 18, 2025 More posts from columbia_hep Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploading & Non-Users Me",0,https://www.instagram.com/p/DRNPiF_DoQv/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2024-11-08,2024-11-08T01:12:10+00:00,310,7,0,"columbiaydsa, sw_columbia, columbia_hep, columbia.jvp, columbia.psc, columbia.sds",6,"Rally against the threat of a Trump presidency, and educate your anger on what you can do to resist it!  Join us as at 1pm for our emergency rally on campus at the Sundial! ak_anette   57w stop lying. read!!! go MAGA!!!! Reply fineimhere   62w Hahaha. You put him in office. 1 like Reply abigailmadeline26   73w Trump democratically elected - the people’s choice. And perhaps the rage on",3,https://www.instagram.com/p/DCF2wWFuZkz/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2024-03-26,2024-03-26T20:06:00+00:00,23,0,0,"columbia_hep, furnald_columbia",2,"*REPOST* Come down and please support Columbia Housing Equity Project as they make and package sandwiches for the HEP Direct Outreach Initiative! No comments yet. Start the conversation. 23 March 26, 2024 More posts from furnald_columbia Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploading & Non-Users Meta Verified English Afrikaans العربية Čeština",0,https://www.instagram.com/p/C4_YEKfOAvN/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2024-04-10,2024-04-10T15:39:18+00:00,43,0,0,columbia_hep,1,"Fill out the form in our insta bio!!! No comments yet. Start the conversation. 43 April 10, 2024 More posts from columbia_hep Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploading & Non-Users Meta Verified English Afrikaans العربية Čeština Dansk Deutsch Ελληνικά English English (UK) Español (España) Español فارسی Suomi Français עברית Bahasa Indonesia Italiano 日本語 한국어 Bahasa Melayu N",0,https://www.instagram.com/p/C5lheAAO8XP/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2025-01-22,2025-01-22T03:50:23+00:00,28,0,0,columbia_hep,1,"Join us for our first general body meeting of the spring on Monday, January 27th and 8pm in Math 203! This meeting will be a chance to hear from our coordinators about the ways to get involved this semester, and will be a great opportunity to join HEP, re-engage with HEP, or just learn more about the different programming HEP runs 🎒🧦🍎 No comments yet. Start the conversation. 28 January 21, 2025 More posts from columbia_hep Meta About Blog Jobs Help API Pr",0,https://www.instagram.com/p/DFHQe67OuhH/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2025-09-08,2025-09-08T20:20:27+00:00,32,0,0,columbia_hep,1,"Learn about our work and join our initiatives at HEP’s first G-body meeting of this school year! Returning and new members are always welcome. We’ll be in Math 203 tonight! No comments yet. Start the conversation. 32 September 8, 2025 More posts from columbia_hep Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploading & Non-Users Meta Verified English Afrikaans العربية Čeština Dansk De",0,https://www.instagram.com/p/DOWr0o6joqi/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2025-04-17,2025-04-17T02:20:09+00:00,9,1,0,columbia_hep,1,"Hi friends! Come join us TOMORROW for some baking and community. Bring friends for our communal baking activity as we celebrate ringing in NYC spring for our Morningside Heights Community members. 🌸🌿🌷 anniefasulo   50w 💟💟 Reply 9 1 April 16, 2025 More posts from columbia_hep Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploading & Non-Users Meta Verified English Afrikaans العربية Češt",0,https://www.instagram.com/p/DIh9uTSON4p/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2024-05-02,2024-05-02T15:02:19+00:00,117,1,0,columbia_hep,1,"ACTION ITEM: Please consider donating extra swipes, flex points, or dining dollars! HEP has been locked out. We rely on our on-campus supplies to serve our community. We need snacks, drinks (water, juice, etc), and other nonperishables. Drop off at the BCRW (Milstein 612) or email cuhepinventory@gmail.com with a phone number to organize a donation pickup. makeradicalcare   100w @poormagazine Reply 117 1 May 2, 2024 More posts from columbia_hep Meta About",0,https://www.instagram.com/p/C6eGuSpungH/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2025-10-05,2025-10-05T15:03:14+00:00,53,1,0,columbia_hep,1,"What is HEP? Here is a guided HEP 101 flyer detailing some of our club’s work. Whether it be direct outreach, shelter, inventory, advocacy, or food recovery network, HEP has a place for you to get involved! 🌟🌟 maeve.11   26w Oh now this is a great poster Reply 53 1 October 5, 2025 More posts from columbia_hep Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploading & Non-Users Meta Veri",0,https://www.instagram.com/p/DPbo_AOjo0r/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2024-03-21,2024-03-21T21:36:15+00:00,33,0,0,columbia_hep,1,"HEP will be hosting a teach-in and letter writing/emailing session at our next GenBod to raise awareness around harmful changes to the NYC shelter system. All are welcome to attend, and please spread the word! No comments yet. Start the conversation. 33 March 21, 2024 More posts from columbia_hep Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploading & Non-Users Meta Verified English",0,https://www.instagram.com/p/C4yqa6yu1xb/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2025-09-28,2025-09-28T17:53:24+00:00,20,0,0,columbia_hep,1,"Join us on Sandwich-Making Sundays in the BCRW in Milstein at noon. Happening every Sunday at 12pm, rain or shine 🌟 No comments yet. Start the conversation. 20 September 28, 2025 More posts from columbia_hep Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploading & Non-Users Meta Verified English Afrikaans العربية Čeština Dansk Deutsch Ελληνικά English English (UK) Español (España) Esp",0,https://www.instagram.com/p/DPJ65J5jrf7/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2025-10-21,2025-10-21T16:00:18+00:00,13,0,0,"columbia_hep, Intercultural, Resource, Center, Columbia, University, Undergrad, Student, Life, Edited",10,"Need a study break from midterms? Come to our spooky baking social, hosted by HEP’s food recovery network this Thursday in the IRC (7-10 pm). Everyone is welcomed!! Baked goods will be distributed to community members in need 🧡🎃👻 No comments yet. Start the conversation. 13 October 21, 2025 More posts from columbia_hep Meta About Blog Jobs Help API Privacy Consumer Health P",0,https://www.instagram.com/p/DQE8O5WDm7V/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2025-10-07,2025-10-07T04:38:53+00:00,49,1,0,columbia_hep,1,"Big thanks to EMTs Kasey, Maeve, Amelia, and Alisha for leading an awesome session on immediate medical care at tonight’s GBM! 🏥🚑🩹 We learned how to handle emergencies, explored the resources available to HEP members, and worked through some real-life scenarios. Thanks to everyone who came out! gourdmom   26w 😍 Reply 49 1 October 7, 2025 More posts from columbia_hep Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Li",0,https://www.instagram.com/p/DPfrHy0Dpzn/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2026-02-26,2026-02-26T04:22:10+00:00,25,1,0,columbia_hep,1,CALLING ALL MUSICIANS!!! Housing Equity Project will be hosting a live music fundraiser at 526 W 114th Street beginning at 9pm! We are looking for five groups to play 30 minute sets through the evening. Please fill out the form if interested! Our proceeds will be donated to Minnesota-based ICE relief organizations and to buy winter clothes and toiletries No comments yet. Start the conversation. 25 1 February 25 More posts from columbia_hep Meta About Blog,0,https://www.instagram.com/p/DVNPwVFjXXB/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2025-05-07,2025-05-07T17:23:19+00:00,2,0,0,columbia_hep,1,"A special thank you to all of our graduating seniors 🥹🥹 Thank you for all you did for HEP 🤍 We are all going to miss you sooo much. Good luck with your next journey <3 campmugwort   48w Aww so sweet 🤧 Reply anniefasulo   48w Gonna miss HEP🫶🫶🫶 Reply 2 May 7, 2025 More posts from columbia_hep Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploading & Non-Users Meta Verified English Afrika",0,https://www.instagram.com/p/DJXE-z1u0QH/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2024-02-25,2024-02-25T16:39:23+00:00,50,0,0,"columbia.hso, columbia_hep, columbia_msa, Edited",4,"🚨🚨🚨POSTPONED TO NEXT WEEKEND 🚨🚨🚨  Asalamualikum everyone🥪  Columbia MSA is happy to announce a collaboration we have planned with the Columbia HSO and the Columbia HEP! We invite you to a sandwich making session on Sunday, Feb 25th from 12-1pm, where we make sandwiches! Make sure to bring your friends and attend!  Hope to see you all there! No comments yet. Start the conversation. 50 February 22, 2024 More posts",0,https://www.instagram.com/p/C3qGM0RAQI3/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2024-03-19,2024-03-19T14:51:46+00:00,110,2,0,"govkathyhochul, columbia_hep",2,"@govkathyhochul We call on you to revoke this detrimental and racist policy immediately! Swipe to read our letter.  HEP members, please share this post widely and demand action from Gov. Hochul! alienneamoeba   107w Indeed!! Reply glynisomeara   107w 🔥🔥🔥🔥 1 like Reply 110 2 March 19, 2024 More posts from columbia_hep Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploadi",0,https://www.instagram.com/p/C4syiiMux0-/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2023-12-06,2023-12-06T01:21:14+00:00,27,0,0,"columbia_hep, Edited",2,"another BAKE SALE is happening on THURSDAY!! money will be going towards things like socks, jeans, and underwear! No comments yet. Start the conversation. 27 December 5, 2023 More posts from columbia_hep Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploading & Non-Users Meta Verified English Afrikaans العربية Čeština Dansk Deutsch Ελληνικά English English (UK) Español (Españ",0,https://www.instagram.com/p/C0fjCIzu2bo/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2025-09-28,2025-09-28T17:16:08+00:00,22,1,0,"defend.harlem, columbia_hep",2,"Join us for a special General Body Meeting featuring Kai, CEO and Founder of Defend Harlem. Kai will be speaking about his work with Defend Harlem and the importance of community leadership and advocacy. This is a unique opportunity to hear directly from a local changemaker. 🗓 Monday, September 29 📍 MATH 203 ⏰ 8 pm All are welcome - we hope to see you there! No comments yet. Start the conversation. 22 1 September 28, 2025 More posts from col",0,https://www.instagram.com/p/DPJ2oNsjstQ/,,,,,,,,,,,,
Housing Equity Project,columbia_hep,ok,2025-04-29,2025-04-29T23:23:01+00:00,,,,columbia_hep,1,"It’s that time of the semester! As we reflect on our spring semester, we acknowledge the loss of some INCREDIBLE seniors, and welcome to chance for new and more leaders to emerge! You may apply for more than one position, with explanations and contact details all provided in the application. The application will close this Sunday 5/4. No comments yet. Start the conversation. April 29, 2025 More posts from columbia_hep Meta About Blog Jobs Help API Privacy",0,https://www.instagram.com/p/DJDHyY1uKWy/,,,,,,,,,,,,
